lat_r,lon_r,start_rides,geometry,dot_class,index_right,zip,zip_class,matrix_cat,start_station_name
38.904,-77.035,1,POINT (-8575496.973259829 4707929.710281376),small,68.0,20005,dark,Net sink ZIP,15th & L St NW
38.904,-77.0349,5,POINT (-8575485.841310749 4707929.710281376),medium,68.0,20005,dark,Balanced,15th & L St NW
38.904,-77.0348,18,POINT (-8575474.70936167 4707929.710281376),medium,68.0,20005,dark,Balanced,15th & L St NW
38.904,-77.0347,13,POINT (-8575463.577412592 4707929.710281376),medium,68.0,20005,dark,Balanced,15th & L St NW
38.904,-77.0346,1187,POINT (-8575452.445463512 4707929.710281376),large,68.0,20005,dark,High-turnover hub,15th & L St NW
38.904,-77.0345,2,POINT (-8575441.313514432 4707929.710281376),medium,68.0,20005,dark,Balanced,15th & L St NW
38.904,-77.0344,1,POINT (-8575430.181565356 4707929.710281376),small,68.0,20005,dark,Net sink ZIP,15th & L St NW
38.904,-77.0343,2,POINT (-8575419.049616273 4707929.710281376),medium,68.0,20005,dark,Balanced,15th & L St NW
38.904,-77.0319,1,POINT (-8575151.88283837 4707929.710281376),small,68.0,20005,dark,Net sink ZIP,14th & L St NW
38.904,-77.0316,1,POINT (-8575118.486991132 4707929.710281376),small,68.0,20005,dark,Net sink ZIP,14th & L St NW
38.9041,-77.0471,2,POINT (-8576843.939098427 4707944.015044725),medium,70.0,20037,dark,Balanced,21st & L St NW 
38.9041,-77.047,1,POINT (-8576832.807149349 4707944.015044725),small,70.0,20037,dark,Net sink ZIP,21st & L St NW 
38.9041,-77.0469,1,POINT (-8576821.675200269 4707944.015044725),small,70.0,20037,dark,Net sink ZIP,21st & L St NW 
38.9041,-77.0466,555,POINT (-8576788.27935303 4707944.015044725),large,71.0,20036,dark,High-turnover hub,21st & L St NW 
38.9041,-77.0463,1,POINT (-8576754.883505793 4707944.015044725),small,71.0,20036,dark,Net sink ZIP,21st & L St NW 
38.9041,-77.0425,1,POINT (-8576331.86944078 4707944.015044725),small,71.0,20036,dark,Net sink ZIP,18th & L St NW
38.9041,-77.0351,1,POINT (-8575508.10520891 4707944.015044725),small,68.0,20005,dark,Net sink ZIP,15th & L St NW
38.9041,-77.035,1,POINT (-8575496.973259829 4707944.015044725),small,68.0,20005,dark,Net sink ZIP,15th & L St NW
38.9041,-77.0349,4,POINT (-8575485.841310749 4707944.015044725),medium,68.0,20005,dark,Balanced,15th & L St NW
38.9041,-77.0348,14,POINT (-8575474.70936167 4707944.015044725),medium,68.0,20005,dark,Balanced,15th & L St NW
38.9041,-77.0347,8,POINT (-8575463.577412592 4707944.015044725),medium,68.0,20005,dark,Balanced,15th & L St NW
38.9041,-77.0346,1,POINT (-8575452.445463512 4707944.015044725),small,68.0,20005,dark,Net sink ZIP,15th & L St NW
38.9041,-77.0345,1,POINT (-8575441.313514432 4707944.015044725),small,68.0,20005,dark,Net sink ZIP,15th & L St NW
38.9041,-77.0344,1,POINT (-8575430.181565356 4707944.015044725),small,68.0,20005,dark,Net sink ZIP,15th & L St NW
38.9041,-77.0343,2,POINT (-8575419.049616273 4707944.015044725),medium,68.0,20005,dark,Balanced,15th & L St NW
38.9041,-77.0343,2,POINT (-8575419.049616273 4707944.015044725),medium,68.0,20005,dark,Balanced,15th & M St NW
38.9041,-77.0285,1,POINT (-8574773.396569671 4707944.015044725),small,68.0,20005,dark,Net sink ZIP,12th & L St NW
38.9042,-77.1278,1,POINT (-8585827.422005445 4707958.319828223),small,81.0,22207,medium,Balanced,Marymount University / Yorktown Blvd & 26th St N
38.9042,-77.1277,1,POINT (-8585816.290056366 4707958.319828223),small,81.0,22207,medium,Balanced,Marymount University / Yorktown Blvd & 26th St N
38.9042,-77.0349,2,POINT (-8575485.841310749 4707958.319828223),medium,68.0,20005,dark,Balanced,15th & L St NW
38.9042,-77.0348,1,POINT (-8575474.70936167 4707958.319828223),small,68.0,20005,dark,Net sink ZIP,15th & L St NW
38.9042,-77.0347,2,POINT (-8575463.577412592 4707958.319828223),medium,68.0,20005,dark,Balanced,15th & L St NW
38.9042,-77.0345,1,POINT (-8575441.313514432 4707958.319828223),small,68.0,20005,dark,Net sink ZIP,15th & L St NW
38.9043,-77.1278,87,POINT (-8585827.422005445 4707972.624631871),large,81.0,22207,medium,Balanced,Marymount University / Yorktown Blvd & 26th St N
38.9043,-77.0345,1,POINT (-8575441.313514432 4707972.624631871),small,68.0,20005,dark,Net sink ZIP,15th & L St NW
38.9044,-77.2218,47,POINT (-8596291.454140013 4707986.929455666),large,126.0,22182,medium,Balanced,Madron Ln & Bermudez Ct
